Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/processFulltextDocument,39,9,2600.0,7899.870286718139,1036.1633069987874,27355.355892999796,66892.94871794872,0.6653500010180907,0.1535423079272517,2600,5400,14000,19000,25000,26000,27000,27000,27000,27000,27000
,Aggregated,39,9,2600.0,7899.870286718139,1036.1633069987874,27355.355892999796,66892.94871794872,0.6653500010180907,0.1535423079272517,2600,5400,14000,19000,25000,26000,27000,27000,27000,27000,27000
